Epoch,Train Accuracy,Validation Accuracy
1,0.09992222222222223,0.1
2,0.09802222222222223,0.1
3,0.09843333333333334,0.1
4,0.09746666666666667,0.1
5,0.09957777777777778,0.1
6,0.10016666666666667,0.1
7,0.0995888888888889,0.1
8,0.09887777777777779,0.1
9,0.10001111111111112,0.1
10,0.09822222222222222,0.1
11,0.09748888888888889,0.1
12,0.09832222222222223,0.1
13,0.09814444444444445,0.1
14,0.10024444444444446,0.1
15,0.1,0.1
16,0.10002222222222222,0.1
17,0.09921111111111111,0.1
18,0.09860000000000001,0.1
19,0.09915555555555557,0.1
20,0.09891111111111112,0.1
21,0.09821111111111111,0.1
22,0.09820000000000001,0.1
23,0.09938888888888889,0.1
24,0.09996666666666668,0.1
25,0.09874444444444445,0.1
26,0.09836666666666667,0.1
27,0.09844444444444445,0.1
28,0.09923333333333334,0.1
29,0.09904444444444445,0.1
30,0.09953333333333333,0.1
31,0.09981111111111111,0.1
32,0.09938888888888889,0.1
33,0.09933333333333334,0.1
34,0.0998,0.1
35,0.09857777777777778,0.1
36,0.1,0.1
37,0.1,0.1
38,0.1,0.1
39,0.1,0.1
40,0.1,0.1
